Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-3,1) to the modular symbol [X^14*Y^2,(0,0)] of weight 18 and level 1.  Data generated by the following Sage code:

ms1k18a = (ModularSymbols(1, 18).plus_submodule().new_submodule().cuspidal_subspace().atkin_lehner_operator()-1).kernel().gen(0)
jj=compute_jacobi(ms1k18a*5/448, -3, 1, 2000)

Weight: 18
Index: 1

Coefficients:
====================================
  Delta      r     c(Delta,r)
    -44      0          13464
    -43      1        66013/2
    -40      0         -19940
    -39      1           3432
    -36      0           2277
    -35      1         -13635
    -32      0           9504
    -31      1           3408
    -28      0          -6272
    -27      1            N/A
    -24      0            732
    -23      1          -1368
    -20      0            900
    -19      1          253/2
    -16      0           -528
    -15      1            120
    -12      0            N/A
    -11      1          -99/2
     -8      0            -18
     -7      1              8
     -4      0              1
     -3      1            N/A
